SHOE_NAME,Arch Support,Arch Type,Brand,Cushioning,Flexibility,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Pronation,Release Date,Strike Pattern,Toebox,Waterproofing,Weight (oz),Widths Available
Merrell Antora 2 GTX,Neutral,High,Merrell,Balanced,Balanced,,,8.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,,{Standard}
Inov-8 X-Talon 210,Neutral,High,Inov-8,Firm,,6.0,9.0,3.0,130.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",Narrow,,7.4,"{Narrow, Standard}"
ASICS Trabuco Max,Neutral,High,ASICS,Balanced,Semi-Rigid,23.0,28.0,5.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Medium,,10.4,{Standard}
Topo Athletic Runventure 3,Neutral,High,Topo Athletic,Balanced,Semi-Flexible,20.0,20.0,0.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Medium,,9.5,{Standard}
Reebok Zigwild Trail 6.0,Neutral,High,Reebok,Balanced,,,,,100.00,"{Supination, Underpronation, Neutral}",2020,{},Medium,,,{Standard}
Topo Athletic Terraventure 2,Neutral,High,Topo Athletic,,,22.0,25.0,3.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",,,10.8,{Standard}
Inov-8 Mudclaw 275,Neutral,High,Inov-8,,,20.0,24.0,4.0,130.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",,,9.7,{Standard}
ASICS Gel Sonoma 5 GTX,Neutral,High,ASICS,Balanced,Balanced,,,8.0,100.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Narrow,Waterproof,,{Standard}
ASICS Gel Trabuco 9,Stability,Low,ASICS,Balanced,Balanced,11.0,19.0,8.0,130.00,{Overpronation},2021,"{Forefoot, Midfoot, Heel}",Wide,,10.8,{Standard}
Adidas Terrex Agravic Speed,Neutral,High,Adidas,,,,,6.0,120.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",,,9.0,{Standard}
Inov-8 Roclite G 290,Neutral,High,Inov-8,Balanced,Semi-Flexible,7.0,11.0,4.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Narrow,,10.2,{Standard}
La Sportiva Lycan 2.0,Neutral,High,La Sportiva,Balanced,Semi-Rigid,22.0,28.0,6.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Medium,,11.1,{Standard}
PUMA Fast-Trac NITRO,Neutral,,PUMA,Firm,Balanced,21.0,29.0,8.0,110.00,{},2023,"{Forefoot, Midfoot, Heel}",Narrow,Water Repellent,9.6,{Standard}
Kailas Fuga EX 2,Neutral,High,Kailas,Firm,Balanced,28.0,36.0,8.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Medium,,9.5,{Standard}
Salomon Madcross GTX,Neutral,High,Salomon,Balanced,Flexible,22.8,30.8,8.0,80.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,Waterproof,11.5,{Standard}
Kailas Fuga EX BOA,Neutral,High,Kailas,Firm,Balanced,28.0,36.0,8.0,170.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Medium,,9.6,{Standard}
La Sportiva Akyra GTX,Neutral,High,La Sportiva,,,16.0,25.0,9.0,160.00,"{Supination, Underpronation, Neutral}",,{Heel},,Waterproof,13.7,"{Narrow, Standard}"
Altra Lone Peak 4.5,Neutral,High,Altra,Balanced,Balanced,,,0.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Extra Wide,,10.4,{Standard}
Kailas Fuga Pro 4,Neutral,High,Kailas,Firm,Balanced,22.0,32.0,10.0,230.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Medium,,9.5,{Standard}
Columbia Caldorado III OutDry,Neutral,High,Columbia,Plush,Balanced,11.0,19.0,8.0,145.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Wide,Waterproof,11.7,{Standard}
Altra Superior 4.0,Neutral,High,Altra,Plush,Flexible,21.0,21.0,0.0,110.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Wide,,7.9,{Standard}
New Balance Fresh Foam Hierro v3,Neutral,High,New Balance,,,22.0,30.0,8.0,135.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",,,11.6,{Wide}
Salomon XT-6 GTX,Neutral,,Salomon,Balanced,Semi-Rigid,,,,200.00,{},2023,{},Medium,Waterproof,,{Standard}
The North Face Ultra Endurance II,Neutral,High,The North Face,,,9.0,17.0,8.0,120.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",,,11.5,{Standard}
Kailas Fuga DU,Neutral,High,Kailas,Balanced,Semi-Rigid,,36.0,8.0,200.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Medium,,10.3,{Standard}
Kailas Fuga YAO,Neutral,High,Kailas,Balanced,Semi-Rigid,,,,160.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Medium,,10.1,{Standard}
Kailas Fuga Elite 2,Neutral,High,Kailas,Balanced,Rigid,31.0,41.0,10.0,360.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Medium,,10.0,{Standard}
Brooks Cascadia 13 GTX,Neutral,High,Brooks,,,,,10.5,160.00,"{Supination, Underpronation, Neutral}",,{Heel},,Waterproof,12.3,{}
New Balance Fresh Foam Hierro BOA,Neutral,High,New Balance,,,,,8.0,160.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",,,11.4,{Standard}
New Balance Fresh Foam Hierro v4,Neutral,High,New Balance,Plush,Semi-Flexible,20.0,28.0,8.0,135.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Medium,,11.4,{Standard}
Arc’teryx Norvan LD GTX,Neutral,High,Arc'teryx,Balanced,Semi-Flexible,19.0,28.0,9.0,195.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Medium,Waterproof,11.6,{Standard}
Merrell Fiery GTX,Neutral,High,Merrell,Balanced,Balanced,27.0,35.0,8.0,130.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Medium,,,{Standard}
Scott Kinabalu RC 2.0,Neutral,High,Scott,Balanced,,18.0,21.0,3.0,120.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Medium,,9.0,{Standard}
Kailas Phantom 3.0,Neutral,High,Kailas,Balanced,Balanced,,,,126.00,"{Supination, Underpronation, Neutral}",2023,{Heel},Medium,,8.3,{Standard}
Kailas Flythorn Air 2.0,Neutral,High,Kailas,Firm,Semi-Flexible,19.0,29.0,10.0,140.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Medium,,10.3,{Standard}
