SHOE_NAME,Brand,Closure,Collaboration,Designed By,Embellishment,Inspired From,Lace Type,MSRP (USD),Origin,Print,Release Date,Season,Style,Top,Weight (oz)
Merrell Jungle Moc Nubuck,Merrell,{Slip-On},,,,Hiking,{No Lace},95.00,,{},,"{Spring, Fall}",{},Low,8.0
Alexander McQueen Oversized Sneaker,Alexander McQueen,{Laces},,,,Casual,{Flat Lace},580.00,,{},2019,"{Spring, Summer}","{Minimalist, Chunky}",Low,
Vivobarefoot Gobi II,Vivobarefoot,{Laces},,,,,{Round Lace},150.00,,{},2022,"{Spring, Fall}","{Minimalist, Dressy}",Low,
PUMA CELL Endura,PUMA,{Laces},,,,Running,{},130.00,,{},2019,{},{Dad},Low,
Reebok Classic Harman Run,Reebok,{Laces},,,,Running,{},65.00,,{},,{},{Retro},Low,
Nike Air Force 1 Crater,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",110.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty, Deconstructed}",Low,
Globe Mahalo Plus,Globe,{Laces},Mark Appleyard,,,Skate,{},100.00,,{},2022,{},"{Sporty, Minimalist}",Low,
Adidas NMD S1,Adidas,{Laces},,,,,{Round Lace},180.00,,{},2022,"{Spring, Summer}",{Futuristic},Low,
Vans Pig Suede Old Skool,Vans,{Laces},,,,Skate,{Flat Lace},65.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
PUMA Replicat-X,PUMA,{Laces},Pirelli,,,,{Round Lace},100.00,,{},2023,"{Spring, Summer, Fall}",{Sporty},Low,
Nike MD Runner 2,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Fila Original Fitness,Fila,{},,,,Running,{},65.00,,{},2019,{},{},Low,
Columbia PFG Tamiami,Columbia,{Laces},,,,Boat,{Round Lace},80.00,,{},,"{Spring, Summer}",{Dad},Low,10.0
Adidas X9000L3,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,,{},2020,{Summer},"{Sporty, Futuristic}",Low,11.7
Nike Air Max 180,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",130.00,,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
ECCO Exostride,ECCO,{Laces},,,,Hiking,{Flat Lace},150.00,,{},2022,"{Fall, Winter}","{Sporty, Minimalist}",Low,34.6
Vans Authentic Mule,Vans,{Laces},,,,Skate,{Flat Lace},70.00,,{Checkered},,"{Spring, Summer}",{Mule},Low,13.0
Cole Haan Grand Crosscourt Modern,Cole Haan,{Laces},,,,Tennis,{Cotton Lace},160.00,Asian,"{Leopard, Animal}",2022,"{Spring, Summer, Fall}",{Sporty},Low,
Jordan Zoom 92,Jordan,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",150.00,Asian,{},2020,"{Spring, Summer, Fall}",{Sporty},Low,
Onitsuka Tiger EDR 78,Onitsuka Tiger,{},,,,Running,{},120.00,,{},,{},{},Low,
PUMA Graviton Pro,PUMA,{Laces},,,,Running,{Flat Lace},70.00,,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
Skechers Hillcrest,Skechers,{Laces},,,,Hiking,{},65.00,,{},2022,{},{Sporty},,
Vans Flame Old Skool,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",60.00,,{Flame},,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Saucony Jazz Original Vintage,Saucony,{Laces},,,,Running,{},60.00,,{},,{},{Retro},Low,9.0
SeaVees Mariners Boot,SeaVees,{Laces},,,,Casual,{},178.00,,{},,"{Fall, Winter}",{Sneakerboots},High,
Vans Knu Skool,Vans,{Laces},,,,Skate,{Flat Lace},75.00,,{},2023,"{Spring, Summer}","{Classic, Chunky}",Low,
Nike Air Foamposite One,Nike,{Laces},,Eric Avar,,Basketball,{Flat Lace},230.00,,{Floral},,"{Spring, Fall, Winter}","{Retro, Sporty, Futuristic}",High,
Nike Air Trainer 3,Nike,"{Velcro, Laces}",,,,Training,"{Cotton Lace, No Lace, Flat Lace}",130.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Chunky}",Mid,
Skechers Delson - Axton,Skechers,{Laces},,,,Casual,{},80.00,,{},2019,{},{},Low,
ASICS Gel Citrek,ASICS,{Laces},,,,Running,{},80.00,,{},2020,"{Spring, Summer}",{},Low,
Adidas FYW S-97,Adidas,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",140.00,,{},2019,"{Spring, Summer, Fall}","{Retro, Dad, Sporty, Chunky}",Low,
Olukai Nohea Mesh,OluKai,{Slip-On},,,,,{No Lace},100.00,,{},2022,"{Spring, Summer}",{},Low,
Adidas Kaptir Super,Adidas,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",90.00,,{},2021,{Spring},"{Sporty, Chunky}",Low,
Nike Air Zoom Division,Nike,{Laces},,,,Running,"{Cotton Lace, Round Lace}",90.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike React SFB Carbon,Nike,{Laces},,,,Hiking,"{Round Lace, Synthetic Lace}",140.00,Asian,{},2021,"{Spring, Fall}",{Sneakerboots},Mid,
ECCO Retro Sneaker,ECCO,{Laces},,,,Running,{Flat Lace},160.00,,{},2023,"{Spring, Summer}","{Retro, Sporty}",Low,
Lacoste Misano Strap,Lacoste,{Velcro},,,,Casual,{No Lace},110.00,,{},2022,"{Spring, Summer}","{Classic, Sporty}",Low,
PUMA Roma Basic +,PUMA,{Laces},,,,,"{Cotton Lace, Flat Lace}",60.00,,{},2019,"{Spring, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Zoom 2K,Nike,{Laces},,,,Basketball,"{Round Lace, Synthetic Lace}",85.00,Asian,{},2019,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Lacoste Twin Serve,Lacoste,{Laces},,,,Tennis,{Flat Lace},110.00,,{},2022,"{Spring, Summer, Fall}",{},Low,14.8
Nike Air Max Zephyr,Nike,{Laces},,,,Running,"{Cotton Lace, Round Lace}",180.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,16.5
DVS Enduro 125,DVS,{},,,,Skate,{},65.00,,{},2019,{},{},Low,
Saucony Jazz DST,Saucony,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",120.00,,{},2021,"{Spring, Summer}",{Sporty},Low,
New Balance 1300,New Balance,{Laces},,,,Running,{Flat Lace},130.00,USA,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
SeaVees Huntington Middie,SeaVees,{},,,,Casual,{},108.00,,{},,{},{},Mid,
Etnies Czar,Etnies,{Laces},,,,Skate,{},70.00,,{},2019,{},{},Low,
DVS Comanche 2.0+,DVS,{Laces},,,,Skate,{},65.00,,{},2019,{},{Retro},Low,
Adidas Superstar Foundation,Adidas,{Laces},,,,Basketball,{Flat Lace},100.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Adidas Stan Smith Vegan,Adidas,{Laces},,,,Tennis,{Cotton Lace},85.00,,{},2022,"{Spring, Summer}",{Minimalist},Low,
PUMA Carina Lift,PUMA,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",50.00,,{},2022,"{Spring, Summer}","{Sporty, Minimalist, Platform}",Low,
Adidas Yeezy Foam Runner,Adidas,{Slip-On},Kanye West,,,,{No Lace},80.00,,{},2022,{Summer},{Futuristic},Low,
New Balance All Coasts 425,New Balance,{Laces},,,,Skate,{Flat Lace},70.00,,{},2020,"{Spring, Summer}",{Minimalist},Low,
Adidas 3MC Vulc,Adidas,{Laces},,,,Skate,"{Synthetic Lace, Flat Lace}",65.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Squash-Type,Nike,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",85.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Ariat Hilo Stretch,Ariat,"{Laces, Slip-On}",,,,Boat,"{No Lace, Elastic Lace, Flat Lace}",80.00,,{},2022,"{Spring, Summer}",{Classic},Low,
Jordan Proto-React,Jordan,"{Velcro, Laces}",,,,,"{Synthetic Lace, No Lace, Flat Lace}",150.00,,{},2020,"{Fall, Winter}","{Sporty, Futuristic}",Mid,
PUMA LQDCell Omega,PUMA,{Laces},,Raka Gemma Maulid,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},2020,"{Spring, Summer, Fall}","{Dad, Sporty, Chunky}",Low,
Nike Overbreak,Nike,{Laces},,,,Running,{Round Lace},140.00,Asian,{},2022,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Adidas Rod Laver,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
New Balance Numeric 425,New Balance,{Laces},,,,Skate,{Flat Lace},65.00,,{},2023,{Fall},{Sporty},Low,12.7
Adidas Yeezy 700 v3,Adidas,{Laces},Kanye West,,,Basketball,{},200.00,,{},2020,"{Spring, Summer}",{},Low,
Reebok Royal Glide,Reebok,{Laces},,,,Running,{},75.00,,{},,{},{Classic},Low,
PUMA RS-X Reinvention,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},2019,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Nike Joyride CC3 Setter,Nike,{Laces},,,,Running,"{Cotton Lace, Round Lace}",180.00,,{},2019,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Vans Checkerboard Era,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",50.00,,{Checkered},2019,"{Spring, Summer}","{Retro, Sporty}",Low,15.0
Adidas 350,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",80.00,,{},,"{Spring, Fall, Winter}","{Classic, Sporty, Minimalist}",Low,
Nike BE-DO-WIN SP,Nike,{Laces},,,,Casual,"{Synthetic Lace, Flat Lace}",130.00,,{},2022,{Fall},"{Retro, Dressy}",Low,
Reebok Zig Pulse,Reebok,{},,,,,{},90.00,,{},,{},{Sporty},Low,
K-Swiss Cali Trail,K-Swiss,{Laces},,,,Hiking,{Round Lace},75.00,,{},,"{Fall, Winter}","{Retro, Dad, Sporty}",Low,
KEEN Austin,KEEN,{},,,,Casual,{},110.00,,{},,{},{},Low,
Osiris Graff,Osiris,{Laces},,,,Skate,{},75.00,,{},2022,"{Spring, Summer, Fall}","{Classic, Chunky}",Low,
Jordan Max Aura 2,Jordan,{Laces},,,,Basketball,"{Cotton Lace, Round Lace}",120.00,,{},2020,"{Spring, Fall}","{Sporty, Chunky}",Mid,
Skechers Equalizer 3.0,Skechers,{Laces},,,,Running,{Flat Lace},65.00,,{},2022,"{Spring, Summer}",{Sporty},Low,
Nike Shox TL,Nike,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",170.00,,{},2019,"{Spring, Summer}","{Retro, Sporty, Futuristic}",Low,
Saucony Jazz 81 Peak,Saucony,{Laces},,,,Hiking,{Flat Lace},100.00,,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
SeaVees Westwood,SeaVees,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",88.00,,{},2020,"{Spring, Summer}",{Minimalist},Low,14.0
Sorel Kinetic Rush Ripstop,Sorel,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",130.00,,{},2022,"{Fall, Winter}",{Sporty},Low,
Adidas Day Jogger,Adidas,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",120.00,,{},2021,"{Spring, Summer}",{Sporty},Low,
Emerica Omen Hi,Emerica,{Laces},,,,Skate,{},65.00,,{},2019,{},{},High,
ASICS Gel Nandi 360,ASICS,{Laces},,,,Running,{},150.00,,{},2020,"{Spring, Summer}","{Sporty, Futuristic}",Low,
DC Central,DC,{Laces},,,,Skate,{},65.00,USA,{},2022,"{Spring, Summer}","{Classic, Minimalist}",Low,
Adidas Superstar 80s,Adidas,{Laces},,,,Basketball,{Flat Lace},120.00,,{},,"{Spring, Summer}","{Classic, Sporty, Minimalist}",Low,
Adidas Top Ten 2000,Adidas,{Laces},,,,Basketball,{Cotton Lace},140.00,Asian,{},2023,"{Fall, Winter}","{Retro, Sporty}",Mid,
Nike Court Royale 2 Low,Nike,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",80.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Vans Skate Grosso Mid,Vans,{},,,,Skate,{},90.00,,{},2022,"{Spring, Summer, Fall}","{Classic, Sporty}",Mid,
Nike Air Max Tailwind IV,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",160.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Dad, Sporty, Chunky}",Low,
PUMA Serve Pro,PUMA,{Laces},,,,Casual,{Flat Lace},65.00,Asian,{},2022,"{Spring, Summer}","{Classic, Minimalist}",Low,
Etnies Dory,Etnies,{Laces},,,,,{},70.00,,{},2019,{},{},Low,
Nike Air Huarache Premium,Nike,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",120.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Skechers Crossbar,Skechers,{Laces},,,,Hiking,{Round Lace},60.00,Asian,{},2022,"{Fall, Winter}","{Dad, Sporty}",Low,
DC Williams Slim,DC,{Laces},Stevie Williams,,,Skate,{Round Lace},85.00,USA,{},2022,"{Spring, Fall}","{Retro, Sporty}",Low,
Reebok Zig Kinetica II Edge,Reebok,{Slip-On},,,,Hiking,"{No Lace, Toggle Lace}",135.00,Asian,{},2022,{Summer},"{Dad, Sporty, Chunky}",Low,
Nike LeBron 2,Nike,{Laces},,,,Basketball,{Round Lace},210.00,,{Graphic},2022,"{Spring, Summer}","{Retro, Chunky}",High,
Nike Air Max ZM950,Nike,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",180.00,Asian,{},2020,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Adidas Orketro,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",140.00,,{},2022,"{Summer, Fall}","{Retro, Sporty, Futuristic}",Low,
Adidas ZX 10000,Adidas,{Laces},,,,Running,{Flat Lace},120.00,Asian,{},2022,{Summer},"{Retro, Sporty}",Low,
Vans 106 Vulcanized,Vans,{Laces},,,,Casual,{Flat Lace},60.00,,{},,{Summer},{Minimalist},Low,
Air Jordan 1 Gore-Tex,Jordan,{Laces},,,Rhinestone,Basketball,"{Synthetic Lace, Flat Lace}",200.00,,{},2022,"{Fall, Winter}","{Retro, Sporty}",High,
PUMA C-Skate,PUMA,{Laces},,,,Skate,{Flat Lace},50.00,Asian,{},2022,"{Spring, Summer}","{Classic, Sporty}",Low,24.3
Globe Motley Mid,Globe,{Laces},,,,Skate,{},70.00,,{},2019,{},{},Mid,
Vans SK8-Mid Reissue,Vans,{Laces},,,,Skate,{},65.00,,{},2019,{},{Retro},Mid,
Vans EVDNT UltimateWaffle,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",100.00,Asian,{},2022,"{Spring, Summer}",{Sporty},Low,
Vans Suede Old Skool,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Air Max Command,Nike,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",110.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Skechers Equalizer Double Play,Skechers,{Slip-On},,,,Casual,{No Lace},70.00,,{},2020,{Summer},{},Low,
Adidas NMD_XR1,Adidas,"{Laces, Slip-On}",,Nic Galway,,Running,"{No Lace, Flat Lace}",150.00,,{Camouflage},,"{Spring, Summer}",{Sporty},Low,
Nike Blazer Low X,Nike,{Laces},,,Embroidered,Basketball,{Flat Lace},95.00,,{},2022,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike SB Dunk Low Pro,Nike,{Laces},,,,Skate,{Flat Lace},100.00,,{Camouflage},,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas Yeezy 500,Adidas,{Laces},Kanye West,,,Casual,{Round Lace},200.00,,{},2020,"{Spring, Summer}","{Retro, Chunky}",Low,
Vans Half Cab Pro,Vans,{Laces},Steve Caballero,,,Skate,{},75.00,,{},,{},{},Mid,
Jordan Maxin 200,Jordan,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",130.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Mid,
ECCO Soft 7 Runner,ECCO,{},,,,Running,{Flat Lace},170.00,,{},2023,"{Spring, Summer, Fall, Winter}",{Sporty},Low,
Hey Dude Brixton,Hey Dude,{Laces},,,,Casual,{Round Lace},70.00,USA,{},2023,"{Spring, Summer}",{},Low,
Adidas Yung-96 Chasm,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,,{},2019,"{Spring, Fall}","{Retro, Dad, Sporty, Chunky}",Low,
Skechers Energy Afterburn,Skechers,{Laces},,,,Training,{},64.00,,{},2020,"{Spring, Summer}","{Dad, Sporty, Chunky}",Low,
Nike Dunk High Premium,Nike,{Laces},,,,Basketball,{Flat Lace},140.00,Asian,{},2022,"{Fall, Winter}","{Classic, Sporty}",High,
Hey Dude Wally Sox Funk,Hey Dude,"{Laces, Slip-On}",,,,Casual,"{No Lace, Leather Lace}",65.00,,{},,"{Spring, Summer}",{Dressy},Low,
Cole Haan Zerogrand All Day Trainer,Cole Haan,{Laces},,,,Casual,{},220.00,,{},2020,"{Spring, Summer}",{Classic},Low,
Nike Air Force 1 Crater Flyknit,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",110.00,Asian,{},2021,"{Spring, Summer}",{Sporty},Low,10.9
Vans Skate Sk8-Low,Vans,{Laces},,,,Skate,{Flat Lace},70.00,,{},2023,"{Spring, Fall}","{Retro, Classic}",Low,
Nike ACG Mountain Fly Gore-Tex,Nike,"{Laces, Slip-On}",,,,Hiking,"{Round Lace, No Lace, Toggle Lace}",220.00,Asian,{},2021,"{Fall, Winter}","{Sock, Futuristic, Sneakerboots}",High,
Vans Authentic Stackform,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",80.00,,{},,"{Spring, Summer}","{Platform, Chunky}",Low,
Steve Madden Possession,Steve Madden,{Laces},,,,Casual,"{Cotton Lace, Round Lace}",100.00,,{},2022,{Fall},"{Sporty, Chunky}",Low,
Vans Circle Vee,Vans,{Laces},,,,Casual,{Flat Lace},120.00,Asian,{},2022,"{Spring, Summer}",{},Low,10.6
Merrell Gridway,Merrell,{Laces},,,,Casual,{},130.00,,{},2019,{},{},Low,
Jordan Delta Breathe,Jordan,{Laces},,,,Basketball,"{Round Lace, Synthetic Lace, Leather Lace}",130.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Deconstructed}",Low,
Nike SB Dunk High Pro,Nike,{Laces},,,,Skate,{Flat Lace},130.00,,{Camouflage},,"{Spring, Summer, Fall}","{Retro, Sporty}",High,
Nike Air Max Plus TN SE,Nike,{Laces},,,,Running,{},160.00,,{},2019,{},{},Low,
Reebok Club C Legacy,Reebok,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",80.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
New Balance Numeric Tiago Lemos 1010,New Balance,{Laces},,,,Skate,{Round Lace},110.00,,{},2023,{Fall},"{Retro, Sporty}",Low,14.3
Timberland Davis Square Chukka Boots,Timberland,{Laces},,,,Hiking,{Round Lace},110.00,,{},2021,"{Spring, Fall}",{Sneakerboots},Mid,
Air Jordan 8 Retro,Jordan,"{Velcro, Laces}",,,,Basketball,{Flat Lace},190.00,,{},,"{Spring, Summer}","{Sporty, Futuristic}",High,18.0
Jordan Flight Origin 4,Jordan,{Laces},,,,Basketball,{},120.00,,{},,{},{},Mid,
Nike Air Kukini,Nike,{Slip-On},,,,Running,{No Lace},140.00,,{},2022,{Summer},{},Low,
Nike Air Mag,Nike,"{Velcro, Laces}",,Tinker Hatfield,,Basketball,"{Self-Lacing, No Lace}",3800.00,,{},2020,"{Spring, Fall}",{Futuristic},High,
New Balance 996,New Balance,{Laces},,Steven Smith,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty}",Low,
Lacoste Game Advance,Lacoste,{Laces},,,,Tennis,{Flat Lace},115.00,,{},2023,"{Spring, Summer}",{Sporty},Low,
K-Swiss Classic VN,K-Swiss,{},,,,Tennis,{},65.00,,{},,{},{},Low,
PUMA Speedcat LS,PUMA,{Laces},,,,,{Flat Lace},90.00,,{},,"{Fall, Winter}","{Classic, Minimalist}",Low,
DC Cure,DC,{},,,,Skate,{},65.00,,{},2019,{},{},Low,
Adidas Lacombe,Adidas,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",110.00,,{},2019,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Xero Shoes Kelso,Xero Shoes,{Laces},,,,Tennis,{Flat Lace},110.00,,{},2022,"{Spring, Summer}","{Sporty, Minimalist}",Low,10.4
Fila Grant Hill 3,Fila,{Laces},,,,Basketball,"{Round Lace, Synthetic Lace}",125.00,,{},2020,"{Spring, Fall}","{Classic, Sporty, Chunky}",High,
Nike Air Max 95 NDSTRKT,Nike,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",200.00,Asian,{},2021,"{Fall, Winter}","{Retro, Sporty}",Low,
Vans Sentry WC,Vans,{Laces},,,,Skate,{Flat Lace},80.00,,{},2023,"{Spring, Summer}","{Sporty, Platform, Deconstructed}",Low,
Nike Court Vintage Premium,Nike,{Laces},,,Embroidered,Tennis,"{Cotton Lace, Flat Lace}",70.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Vans Leather Slip-On,Vans,{Slip-On},,,,Skate,{No Lace},60.00,,{},,"{Spring, Summer}","{Retro, Minimalist}",Low,
Lakai Evo,Lakai,{Laces},,,,Running,{},85.00,,{},2019,{},{},Low,
Nike Blazer Mid Premium,Nike,{Laces},,,,Basketball,"{Leather Lace, Flat Lace}",100.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Mid,
PUMA California Casual,PUMA,{Laces},,,,Tennis,{},70.00,,{},2019,{},"{Retro, Sporty, Platform}",Low,
Nike Ispa Mindbody,Nike,{Laces},,,,,{Toggle Lace},180.00,Asian,{},2023,"{Spring, Summer}","{Sock, Deconstructed}",Low,
DC Manteca,DC,{},,,,Skate,{},70.00,,{},,{},{},Low,
Nike Air Flightposite 2,Nike,"{Zipper, Laces}",,,,Basketball,"{Round Lace, No Lace}",200.00,,{},2020,"{Spring, Fall}","{Sporty, Futuristic}",Mid,
Nike Drop-Type,Nike,{Laces},,,,Tennis,{},115.00,,{},2020,"{Spring, Fall}",{Sporty},Low,
Nike Air Max Axis,Nike,{Laces},,,,Running,{Round Lace},90.00,,{},,"{Spring, Summer}",{Sporty},Low,
Reebok Royal Techque T,Reebok,{},,,,Tennis,{},80.00,,{},,"{Spring, Fall}","{Retro, Classic}",Low,
Nike Air Max 95 Premium,Nike,{Laces},,Sergio Lozano,,Running,{Round Lace},170.00,,"{Cheetah, Animal}",,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Lacoste Storm 96,Lacoste,{Laces},,,,Running,{Flat Lace},135.00,,{},2023,"{Spring, Summer}","{Sporty, Chunky}",Low,
Polo Ralph Lauren Hanford,Polo Ralph Lauren,{},,,,Casual,{},70.00,,{},,{},{},Low,
New Balance 998,New Balance,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",180.00,USA,{},,"{Spring, Summer}","{Classic, Sporty}",Low,
Nike Air Force 1/1,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",140.00,Asian,{},2021,"{Spring, Summer}","{Retro, Sporty, Deconstructed}",Low,
Vans ComfyCush Era,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",55.00,,{Checkered},2019,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,11.0
Teva Highside 84,Teva,{Laces},,,,Casual,"{Round Lace, Synthetic Lace}",95.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Vans ComfyCush Authentic,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",55.00,,{Tie Dye},2019,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
SeaVees California Special,SeaVees,{Laces},,,,Casual,{},98.00,,{},2019,{},{},Mid,
DC Anvil,DC,{Laces},,,,Skate,{},60.00,,{},,{},{},Low,
Nike Air Max Oketo,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,Asian,{},2019,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Native Jefferson Print,Native,{},,,,Casual,{},55.00,,{},,{},{},Low,
Reebok Victory G,Reebok,{Laces},,,,Running,{Flat Lace},120.00,Asian,{},2022,"{Fall, Winter}","{Retro, Sporty}",Low,
Reebok Classic Leather Ripple Trail,Reebok,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",80.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
PRO-Keds Royal Lo,PRO-Keds,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",60.00,Asian,{Striped},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
PUMA Speedcat OG Sparco,PUMA,{Laces},,,,,{Cotton Lace},100.00,Asian,{},2023,"{Spring, Fall}","{Retro, Sporty}",Low,
ASICS Gel BND,ASICS,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},2020,"{Spring, Summer}","{Retro, Dad, Chunky}",Low,
ASICS Gel Quantum 90 3,ASICS,{Laces},,,,Running,{Round Lace},85.00,,{},2023,"{Spring, Summer}","{Dad, Sporty}",Low,
Converse TURBOWPN Rick Owens DRKSHDW,Converse,{Slip-On},,,,Basketball,"{No Lace, Flat Lace}",200.00,Asian,{},2022,"{Fall, Winter}","{Retro, Classic, Sporty, Platform, Chunky}",Mid,
Ugg Classic Ultra Mini Platform,UGG,{Slip-On},,,,Casual,{No Lace},150.00,,{},2022,"{Spring, Fall, Winter}","{Platform, Dressy, Sneakerboots}",Mid,
DC Infinite,DC,{Laces},,,,Skate,{},70.00,,{},2019,{},{},Low,
Adidas ZX 5000,Adidas,{Laces},,,,Running,{},120.00,,{},2020,{},{Classic},Low,
Adidas Gazelle 85,Adidas,{Laces},,,,Training,{},130.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Classic, Sporty, Minimalist}",Low,
On The Roger Clubhouse,On,{Laces},,,,Tennis,{Flat Lace},150.00,,{},2022,"{Spring, Summer}",{Classic},Low,10.4
Skechers Bounder,Skechers,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",60.00,,{},2020,"{Spring, Summer}","{Sporty, Chunky}",Low,
eS Accel Slim Mid,éS,{},,,,Skate,{},85.00,,{},2019,{},{},Mid,
Fila Mindblower,Fila,{Laces},,,,Running,"{Cotton Lace, Synthetic Lace}",80.00,,{},2019,"{Spring, Summer, Fall}","{Sporty, Chunky}",Low,
Onitsuka Tiger Mexico 66 Slip-On,Onitsuka Tiger,{Slip-On},,,,Running,{No Lace},85.00,,{},,"{Spring, Summer}","{Retro, Minimalist}",Low,9.0
Adidas Pharrell Williams Human Race NMD,Adidas,"{Laces, Slip-On}",Pharrell Williams,,,Running,"{Round Lace, No Lace}",240.00,,{},,"{Spring, Summer}",{Sporty},Low,
Nike Air Penny V,Nike,{Laces},,,,Basketball,{Round Lace},165.00,,{},,"{Spring, Fall}","{Sporty, Chunky}",Mid,
